gm,gemeente,v01_pop,v57_density,v43_nl,v122_disposable,v132_income,v142_wealth,v153_uitkering,c_65plus
GM1680,Aa en Hunze,25399,92,93.4,51.6,35.2,170,1720,27.1
GM0358,Aalsmeer,31991,1590,78.5,61,40.4,207.1,1530,18.700000000000003
GM0197,Aalten,27120,281,88.5,48.4,32.6,130.4,1670,22.9
GM0059,Achtkarspelen,27900,273,95.5,44.1,29.6,102.2,2230,20.5
GM0482,Alblasserdam,20136,2294,84.6,50.5,33.2,94.8,1340,20
GM0613,Albrandswaard,25814,1190,77.6,60.5,39.7,161.3,1510,17.7
GM0361,Alkmaar,109896,995,77.1,46.7,33.1,92.3,9710,20.2
GM0141,Almelo,73132,1087,73.2,43.1,29.8,40.2,8470,20.1
GM0034,Almere,214715,1662,55.4,49.9,33.5,93.9,18740,12.299999999999999
GM0484,Alphen aan den Rijn,112587,892,78.8,52.6,35.7,112,6790,19.5
GM1723,Alphen-Chaam,10373,111,85.4,57.6,37.8,300,430,23.5
GM1959,Altena,56352,281,92.1,54.4,35.4,153.2,2740,20
GM0060,Ameland,3746,63,91.8,NA,NA,194,160,23.7
GM0307,Amersfoort,157462,2514,74.6,53,36.2,119.1,12200,15.4
GM0362,Amstelveen,90829,2208,53.2,59,40.3,115.1,4800,19.6
GM0363,Amsterdam,873338,5277,43.8,48.4,36.2,14.4,92260,13
GM0200,Apeldoorn,164781,485,81.6,48.6,33.5,93.4,13700,21.4
GM0202,Arnhem,162424,1660,66.7,42.6,30.8,22,18700,15.6
GM0106,Assen,68836,841,83.5,44.2,31.2,66.6,6590,20.7
GM0743,Asten,16817,240,88.8,52.1,34.6,203.8,990,22.9
GM0744,Baarle-Nassau,6899,91,74.2,50,33.9,225.4,400,27.2
GM0308,Baarn,24792,762,81.4,55.7,38.6,188,2020,24.3
GM0489,Barendrecht,48643,2463,73.9,59.7,38.7,170.3,2450,18
GM0203,Barneveld,59992,341,90.9,56.1,35.8,191.9,2750,16.700000000000003
GM0888,Beek,15875,755,84.8,48.4,33.6,141.5,1270,26.4
GM1954,Beekdaelen,36065,461,84.1,49.2,33.7,144.5,2810,26.200000000000003
GM0889,Beesel,13450,481,82.8,46.8,31.8,121.7,970,24.4
GM1945,Berg en Dal,35010,406,85.6,49.2,33.7,115,2890,25.299999999999997
GM1724,Bergeijk,18754,186,88.9,55.5,36.7,274.1,890,22.9
GM0893,Bergen (L.),13108,127,84,48.7,32.8,143.2,900,24.200000000000003
GM0373,Bergen (NH.),29715,300,86.3,61.3,43,308.6,1790,32.900000000000006
GM0748,Bergen op Zoom,67514,844,73.7,47,32.6,83.1,6270,22.1
GM1859,Berkelland,43846,170,91.9,48.7,32.7,157.1,2790,25.4
GM1721,Bernheze,31455,351,90.7,56.6,36.7,229.7,1760,21.5
GM0753,Best,30216,881,81.8,54.9,36.6,172.6,1770,19.5
GM0209,Beuningen,26157,599,86.7,53,35.6,142.9,1680,20.3
GM0375,Beverwijk,41863,2275,71.4,46.1,32.1,78.2,3590,18.5
GM0310,De Bilt,43384,656,81.4,60.8,41.1,237.8,2570,24.1
GM1728,Bladel,20529,273,89.4,53.9,35.9,251.3,1010,21.9
GM0376,Blaricum,11954,1076,79.6,87.3,56.2,325.1,530,24.299999999999997
GM0377,Bloemendaal,23478,590,80.7,89,57.3,516.4,1100,27.1
GM1901,Bodegraven-Reeuwijk,35278,468,86,58.5,38.7,207.5,1580,20.4
GM0755,Boekel,10959,318,91.3,55.9,36.3,248.5,680,18.9
GM1681,Borger-Odoorn,25598,93,93.6,47.9,32.5,105.5,2060,25.2
GM0147,Borne,23668,910,88.9,52.1,34.6,135.7,1550,22.200000000000003
GM0654,Borsele,22818,161,90.4,52.2,34.9,150.5,1230,21.1
GM0757,Boxtel,32973,477,83.2,52.6,35.8,135.4,2120,22.599999999999998
GM0758,Breda,184126,1464,75.5,50.5,35.3,100.3,13380,18.9
GM0501,Brielle,17439,633,84.8,55.1,38,119.7,920,22.799999999999997
GM1876,Bronckhorst,36087,127,93.9,54,36.3,217.3,1960,26.700000000000003
GM0213,Brummen,20884,250,87.8,51.7,35,113.3,1390,25.900000000000002
GM0899,Brunssum,27670,1604,75.9,40.8,29.5,51.1,3330,25.6
GM0312,Bunnik,15341,415,86.3,59.4,39.7,312.5,720,22.3
GM0313,Bunschoten,22019,725,88,56.8,36.1,197.5,1070,16.5
GM0214,Buren,27009,202,91,57.8,37.9,200,1320,20.799999999999997
GM0502,Capelle aan den IJssel,67319,4761,62.8,46.8,32.9,68.2,5130,20.9
GM0383,Castricum,36086,726,88.2,58.6,39.7,282.3,1950,25.299999999999997
GM0109,Coevorden,35317,119,90.8,47,32.1,104.5,2920,24.9
GM1706,Cranendonck,21001,275,82,51.4,34.7,201.2,1230,24.1
GM0216,Culemborg,29121,994,76.1,50.8,34.6,116.3,1870,18.9
GM0148,Dalfsen,28901,175,93.8,53.3,35,241.2,1380,21.5
GM1891,Dantumadiel,18943,224,95.4,45,29.9,120.5,1460,22.9
GM0503,Delft,103581,4572,62.9,45,32.9,32.4,7790,16.2
GM0762,Deurne,32437,277,89.9,50.8,34,170.1,2210,22.299999999999997
GM0150,Deventer,101236,775,77.4,45.8,32,68.4,9370,18.4
GM0384,Diemen,31334,2612,51.2,49.6,35.1,58.7,1880,15.399999999999999
GM1980,Dijk en Waard,NA,NA,NA,NA,NA,NA,NA,NA
GM1774,Dinkelland,26606,151,91.9,56.9,36.4,236.2,1310,22.4
GM0221,Doesburg,11064,960,79.4,43.4,30.7,48.4,1130,27.099999999999998
GM0222,Doetinchem,58270,737,85.1,47.1,32.5,78.6,5510,21.4
GM0766,Dongen,26368,902,85.6,50.8,34.1,146.6,1620,21.8
GM0505,Dordrecht,119115,1517,69,46.5,32.5,68.8,11270,19.5
GM0498,Drechterland,19838,337,88.8,55.3,36.3,210.1,1180,21.8
GM1719,Drimmelen,27325,287,89.6,53.3,35.6,181.1,1450,23.3
GM0303,Dronten,42011,126,82.1,51,34.2,99,2810,18.200000000000003
GM0225,Druten,18991,505,87,51.3,34.1,122.6,1440,20.3
GM0226,Duiven,25066,739,84.9,51.3,34.3,101.4,1820,19.8
GM1711,Echt-Susteren,31751,308,82.2,48.1,33.2,156.3,2830,26.299999999999997
GM0385,Edam-Volendam,36268,668,90.3,58.7,38.3,278.8,1910,21.6
GM0228,Ede,118530,373,83.8,52.5,35.1,133.4,7460,18.7
GM0317,Eemnes,9362,302,85.9,58,38.9,265.7,510,21.1
GM1979,Eemsdelta,45587,170,84.4,41.7,29.6,55.7,4430,25.2
GM0770,Eersel,19528,237,90,61.1,40.9,267.8,1160,22.700000000000003
GM1903,Eijsden-Margraten,25900,334,86.4,55.5,37.2,222.8,1470,25.599999999999998
GM0772,Eindhoven,235691,2689,61.5,45.7,33,44.4,19790,16.7
GM0230,Elburg,23429,367,93.2,50.4,32.9,131.4,1390,19.8
GM0114,Emmen,107024,319,87.5,43.5,30.1,53.1,11970,23.5
GM0388,Enkhuizen,18637,1469,82.9,47.7,33.1,96.3,1640,22.2
GM0153,Enschede,159732,1134,69.4,42.3,30,34.2,18440,18
GM0232,Epe,33198,213,88.2,51.5,34.7,166.5,2090,25.700000000000003
GM0233,Ermelo,27016,315,88.7,52.4,35.3,156,2140,23.7
GM0777,Etten-Leur,43869,793,80.3,50.2,33.8,126.4,3020,21.099999999999998
GM1940,De Fryske Marren,51778,147,91.6,49.2,33.4,142.3,2820,23.8
GM0779,Geertruidenberg,21770,817,89.1,49.9,33.7,106.4,1370,21.5
GM1771,Geldrop-Mierlo,40066,1292,81.5,51.3,35,134.4,2650,22.299999999999997
GM1652,Gemert-Bakel,30760,252,88.6,51.4,34.1,160.3,2000,20.4
GM0907,Gennep,17035,358,85.4,48.6,33.1,146.1,1450,24.5
GM0784,Gilze en Rijen,26723,409,81.6,49.9,33.5,131.3,1630,21.4
GM1924,Goeree-Overflakkee,50589,194,92.7,52.5,35.2,113.5,2760,22.2
GM0664,Goes,38594,417,83.1,47.5,33.3,93.7,3050,23.9
GM0785,Goirle,23952,557,88.3,53.2,35.8,176.6,1420,23.4
GM1942,Gooise Meren,58524,1407,78,66.3,44.4,239.3,3170,21.1
GM0512,Gorinchem,37410,1987,73.2,47.9,33.2,53.5,3270,18.5
GM0513,Gouda,73681,4464,73.3,47.6,33.3,79.9,5790,19.6
GM0518,'s-Gravenhage,548320,6650,43.9,45.9,32.8,27.3,55380,14.9
GM0014,Groningen,233273,1257,75,41.2,30.8,26.9,21990,15
GM1729,Gulpen-Wittem,14206,194,85.8,49.1,34.1,187.9,1050,29
GM0158,Haaksbergen,24229,231,87.4,50.7,33.9,152.9,1540,24.799999999999997
GM0392,Haarlem,162543,5573,68.6,50.7,35.9,115.1,12790,17.2
GM0394,Haarlemmermeer,157789,799,70.5,56.7,37.7,182.8,9790,17.3
GM1655,Halderberge,30430,409,83.6,50.3,33.9,142.7,2040,24
GM0160,Hardenberg,61357,196,92.8,50.1,32.8,108.9,4100,19.1
GM0243,Harderwijk,48726,1253,80.6,49.9,33.7,103,3590,18.8
GM0523,Hardinxveld-Giessendam,18413,1089,92.2,53.3,34.3,142.8,840,18.7
GM0072,Harlingen,15807,633,87.3,41.8,29.7,52.8,1320,26.1
GM0244,Hattem,12228,530,91.6,53.6,35.8,163.5,610,22.6
GM0396,Heemskerk,39191,1434,78.9,49.9,34.1,136.2,3040,22.6
GM0397,Heemstede,27545,3001,79.4,69.2,46.3,395.7,1410,27.1
GM0246,Heerde,18776,238,93.5,52,34.5,197.4,1050,23.8
GM0074,Heerenveen,50650,266,87.6,47,32.4,93.5,3870,22.3
GM0917,Heerlen,86936,1935,70.5,37.5,27.8,21.7,12720,23.5
GM1658,Heeze-Leende,16243,156,88.7,58.8,39.3,282.6,850,24.9
GM0399,Heiloo,24144,1291,87.1,56.8,38.8,274.8,1420,26.7
GM0400,Den Helder,56582,1250,79.1,41.9,30.2,34.6,5800,23.299999999999997
GM0163,Hellendoorn,35932,261,92.9,50.5,33.3,149.1,2190,22.6
GM0530,Hellevoetsluis,40312,981,80.3,50.1,34.6,82.1,2860,22
GM0794,Helmond,92627,1742,71.5,46.2,31.6,51.4,8660,17.599999999999998
GM0531,Hendrik-Ido-Ambacht,31258,2945,84.7,57.5,37.1,147.2,1570,17
GM0164,Hengelo,81049,1332,76.2,45,31.5,60.7,7640,20.4
GM0796,'s-Hertogenbosch,155490,1414,78.8,49.7,34.9,82.9,12880,18.5
GM0252,Heumen,16569,417,85.9,56.3,38,207,980,24.599999999999998
GM0797,Heusden,45005,571,85.2,53.3,35.5,158.6,2800,21.1
GM0534,Hillegom,22197,1724,80.9,51.2,35,157.8,1360,21.200000000000003
GM0798,Hilvarenbeek,15698,166,91.5,56.6,37.5,287.4,740,22.900000000000002
GM0402,Hilversum,91235,2000,70.2,52.9,36.7,110.9,6630,19
GM1963,Hoeksche Waard,88047,327,90.2,55.2,37.1,144.7,4350,22.8
GM1735,Hof van Twente,35040,165,90.5,51.7,34.6,150.5,2020,25.5
GM1966,Het Hogeland,47834,99,92,44.2,30.6,97.7,3850,24.099999999999998
GM1911,Hollands Kroon,48583,136,87.5,49.8,33.5,120.9,3080,21.099999999999998
GM0118,Hoogeveen,55603,436,88.7,44.2,30.4,74.8,4820,22.099999999999998
GM0405,Hoorn,73619,3613,75.3,47.5,32.9,96.1,6720,20
GM1507,Horst aan de Maas,42487,225,87.7,52,34.7,189.7,2370,22.3
GM0321,Houten,50223,914,83.6,59.4,39.1,223.9,2870,15.9
GM0406,Huizen,41090,2600,78.5,54.7,37.7,143.5,2860,24.2
GM0677,Hulst,27575,137,70.7,47.9,33.3,168.2,1810,25.6
GM0353,IJsselstein,33819,1605,79.1,55.9,37.4,150.4,2170,18.1
GM1884,Kaag en Braassem,27541,435,87.4,57.2,38.3,194.8,1300,21.1
GM0166,Kampen,54474,383,89.7,48.2,31.9,94.1,3670,17.4
GM0678,Kapelle,12882,347,90,52.5,34.9,173.5,590,21.5
GM0537,Katwijk,65995,2667,88,52.7,34.6,179.8,3530,18.2
GM0928,Kerkrade,45442,2074,67.8,38.2,27.9,33.8,6050,26.1
GM1598,Koggenland,22940,286,91.3,55.4,36.3,215.3,1210,20.799999999999997
GM0542,Krimpen aan den IJssel,29410,3826,82.9,52.4,35.1,114.9,1630,24.4
GM1931,Krimpenerwaard,56622,382,88.4,53.9,35.9,154,2800,21.3
