gm,gemeente,voorzieningen_fysiek,sociale_cohesie,cijfer_leefbaarheid,overlast_sociaal,cijfer_veiligheid,voelt_discriminatie,slachtoffers_criminaliteit,slachtoffers_geweld
GM0361,Alkmaar,6.6,6.5,7.6,11.8,7.4,10.1,18.3,6.1
GM0141,Almelo,6.3,6.2,7.4,18.3,7.1,12.7,20.4,6.8
GM0034,Almere,6.3,6,7.4,13.5,7.2,17.7,18.7,5.9
GM0484,Alphen aan den Rijn,6.5,6.5,7.6,9.2,7.5,11.6,15.8,5
GM0307,Amersfoort,6.8,6.5,7.6,13.5,7.4,12.3,20.4,4.8
GM0362,Amstelveen,7.1,6.3,7.7,10,7.6,11.9,17,4.9
GM0363,Amsterdam,6.6,5.8,7.4,23.9,7.1,18.5,29.6,7.7
GM0200,Apeldoorn,6.9,6.4,7.6,9.4,7.5,10.5,14.6,4.6
GM0202,Arnhem,6.5,6,7.4,16.5,7.1,12.4,23.5,6.3
GM0758,Breda,6.6,6.3,7.6,12.8,7.3,11,18.4,5.4
GM0503,Delft,6.7,5.9,7.4,13.1,7.5,14.3,21.1,7.4
GM0150,Deventer,6.4,6.5,7.6,15.6,7.4,8,14.6,5.3
GM0505,Dordrecht,6.4,6.2,7.4,16,7.1,15,20.9,5.2
GM0228,Ede,6.5,6.8,7.7,9.9,7.5,10.4,16.8,4.5
GM0772,Eindhoven,6.8,6,7.5,16.1,7.2,13,20.6,8.5
GM0114,Emmen,6.3,6.5,7.6,9.9,7.5,7.4,13,4.1
GM0153,Enschede,6.5,5.9,7.3,16.2,7,12.2,23.8,8
GM0513,Gouda,6.3,6.3,7.4,16.5,7.1,11.3,17.4,6.6
GM0518,'s-Gravenhage,6.6,5.7,7.2,21.8,6.9,18.9,26.6,7.2
GM0014,Groningen,6.8,6.1,7.5,15.4,7.4,11.2,22.6,6.1
GM0392,Haarlem,6.4,6.4,7.5,14.3,7.4,12.1,21.4,5
GM0394,Haarlemmermeer,6.6,6.5,7.7,10.8,7.5,9.1,18.1,5.1
GM0917,Heerlen,6,5.9,7,22,6.9,12.7,18.7,7.1
GM0794,Helmond,6.6,6.1,7.5,18.6,7.2,13.1,16.9,4.4
GM0164,Hengelo,6.6,6.2,7.5,8.9,7.5,9.9,17.8,5.6
GM0796,'s-Hertogenbosch,6.8,6.5,7.7,13.9,7.4,8.4,18.8,5.7
GM0402,Hilversum,6.7,6.3,7.6,12.9,7.5,11.9,18.7,5.2
GM1963,Hoeksche Waard,6.3,6.9,7.9,6.1,8,7.8,10.8,2.4
GM0405,Hoorn,6.5,6.2,7.5,14.8,7.4,9.5,16.4,6.1
GM0080,Leeuwarden,6.5,6.2,7.5,12.8,7.5,10,20.1,7.5
