gm,gemeente,party,votes
GM0014,Groningen,50PLUS,1162
GM0014,Groningen,BBB,12210
GM0014,Groningen,Belang van Nederland (BVNL),589
GM0014,Groningen,CDA,3398
GM0014,Groningen,ChristenUnie,5650
GM0014,Groningen,D66,10552
GM0014,Groningen,Forum voor Democratie,2201
GM0014,Groningen,GROENLINKS,18410
GM0014,Groningen,Groninger Belang,4592
GM0014,Groningen,JA21,2155
GM0014,Groningen,JEZUS LEEFT,85
GM0014,Groningen,PVV (Partij voor de Vrijheid),3283
GM0014,Groningen,Partij van de Arbeid (P.v.d.A.),13598
GM0014,Groningen,Partij voor de Dieren,9051
GM0014,Groningen,Partij voor het Noorden,3726
GM0014,Groningen,SP (Socialistische Partij),6747
GM0014,Groningen,Staatkundig Gereformeerde Partij (SGP),711
GM0014,Groningen,VVD,7283
GM0014,Groningen,Volt,8761
GM0034,Almere,50PLUS,2558
GM0034,Almere,BBB,9512
GM0034,Almere,Belang van Nederland (BVNL),1100
GM0034,Almere,CDA,2085
GM0034,Almere,ChristenUnie,2429
GM0034,Almere,D66,5234
GM0034,Almere,Forum voor Democratie,3172
GM0034,Almere,GROENLINKS,6482
GM0034,Almere,JA21,3746
GM0034,Almere,Krachtig Flevoland,1125
GM0034,Almere,PVV (Partij voor de Vrijheid),6194
GM0034,Almere,Partij van de Arbeid (P.v.d.A.),7089
GM0034,Almere,Partij voor de Dieren,4332
GM0034,Almere,SP (Socialistische Partij),3691
GM0034,Almere,Staatkundig Gereformeerde Partij (SGP),390
GM0034,Almere,SterkLokaalFlevoland,1840
GM0034,Almere,VVD,7970
GM0037,Stadskanaal,50PLUS,170
GM0037,Stadskanaal,BBB,4824
GM0037,Stadskanaal,Belang van Nederland (BVNL),138
GM0037,Stadskanaal,CDA,849
GM0037,Stadskanaal,ChristenUnie,1889
GM0037,Stadskanaal,D66,270
GM0037,Stadskanaal,Forum voor Democratie,505
GM0037,Stadskanaal,GROENLINKS,464
GM0037,Stadskanaal,Groninger Belang,956
GM0037,Stadskanaal,JA21,277
GM0037,Stadskanaal,JEZUS LEEFT,23
GM0037,Stadskanaal,PVV (Partij voor de Vrijheid),1127
GM0037,Stadskanaal,Partij van de Arbeid (P.v.d.A.),1015
GM0037,Stadskanaal,Partij voor de Dieren,286
GM0037,Stadskanaal,Partij voor het Noorden,252
GM0037,Stadskanaal,SP (Socialistische Partij),669
GM0037,Stadskanaal,Staatkundig Gereformeerde Partij (SGP),305
GM0037,Stadskanaal,VVD,680
GM0037,Stadskanaal,Volt,114
GM0047,Veendam,50PLUS,220
GM0047,Veendam,BBB,3411
GM0047,Veendam,Belang van Nederland (BVNL),116
GM0047,Veendam,CDA,338
GM0047,Veendam,ChristenUnie,414
GM0047,Veendam,D66,330
GM0047,Veendam,Forum voor Democratie,429
GM0047,Veendam,GROENLINKS,483
GM0047,Veendam,Groninger Belang,1899
GM0047,Veendam,JA21,250
GM0047,Veendam,JEZUS LEEFT,12
GM0047,Veendam,PVV (Partij voor de Vrijheid),860
