fips,state,county,party,candidatevotes
1001,ALABAMA,AUTAUGA,DEMOCRAT,7503
1001,ALABAMA,AUTAUGA,OTHER,429
1001,ALABAMA,AUTAUGA,REPUBLICAN,19838
1003,ALABAMA,BALDWIN,DEMOCRAT,24578
1003,ALABAMA,BALDWIN,OTHER,1557
1003,ALABAMA,BALDWIN,REPUBLICAN,83544
1005,ALABAMA,BARBOUR,DEMOCRAT,4816
1005,ALABAMA,BARBOUR,OTHER,80
1005,ALABAMA,BARBOUR,REPUBLICAN,5622
1007,ALABAMA,BIBB,DEMOCRAT,1986
1007,ALABAMA,BIBB,OTHER,84
1007,ALABAMA,BIBB,REPUBLICAN,7525
1009,ALABAMA,BLOUNT,DEMOCRAT,2640
1009,ALABAMA,BLOUNT,OTHER,237
1009,ALABAMA,BLOUNT,REPUBLICAN,24711
1011,ALABAMA,BULLOCK,DEMOCRAT,3446
1011,ALABAMA,BULLOCK,OTHER,21
1011,ALABAMA,BULLOCK,REPUBLICAN,1146
1013,ALABAMA,BUTLER,DEMOCRAT,3965
1013,ALABAMA,BUTLER,OTHER,65
1013,ALABAMA,BUTLER,REPUBLICAN,5458
1015,ALABAMA,CALHOUN,DEMOCRAT,15216
1015,ALABAMA,CALHOUN,OTHER,666
1015,ALABAMA,CALHOUN,REPUBLICAN,35101
1017,ALABAMA,CHAMBERS,DEMOCRAT,6365
1017,ALABAMA,CHAMBERS,OTHER,166
1017,ALABAMA,CHAMBERS,REPUBLICAN,8753
1019,ALABAMA,CHEROKEE,DEMOCRAT,1624
1019,ALABAMA,CHEROKEE,OTHER,94
1019,ALABAMA,CHEROKEE,REPUBLICAN,10583
1021,ALABAMA,CHILTON,DEMOCRAT,3073
1021,ALABAMA,CHILTON,OTHER,152
1021,ALABAMA,CHILTON,REPUBLICAN,16085
1023,ALABAMA,CHOCTAW,DEMOCRAT,3127
1023,ALABAMA,CHOCTAW,OTHER,41
1023,ALABAMA,CHOCTAW,REPUBLICAN,4296
1025,ALABAMA,CLARKE,DEMOCRAT,5755
1025,ALABAMA,CLARKE,OTHER,56
1025,ALABAMA,CLARKE,REPUBLICAN,7324
1027,ALABAMA,CLAY,DEMOCRAT,1267
1027,ALABAMA,CLAY,OTHER,62
1027,ALABAMA,CLAY,REPUBLICAN,5601
1029,ALABAMA,CLEBURNE,DEMOCRAT,675
1029,ALABAMA,CLEBURNE,OTHER,68
1029,ALABAMA,CLEBURNE,REPUBLICAN,6484
1031,ALABAMA,COFFEE,DEMOCRAT,5076
1031,ALABAMA,COFFEE,OTHER,300
1031,ALABAMA,COFFEE,REPUBLICAN,16899
1033,ALABAMA,COLBERT,DEMOCRAT,8343
1033,ALABAMA,COLBERT,OTHER,340
1033,ALABAMA,COLBERT,REPUBLICAN,19203
1035,ALABAMA,CONECUH,DEMOCRAT,2966
1035,ALABAMA,CONECUH,OTHER,33
1035,ALABAMA,CONECUH,REPUBLICAN,3442
1037,ALABAMA,COOSA,DEMOCRAT,1796
1037,ALABAMA,COOSA,OTHER,52
1037,ALABAMA,COOSA,REPUBLICAN,3631
1039,ALABAMA,COVINGTON,DEMOCRAT,2721
1039,ALABAMA,COVINGTON,OTHER,123
1039,ALABAMA,COVINGTON,REPUBLICAN,14586
1041,ALABAMA,CRENSHAW,DEMOCRAT,1700
1041,ALABAMA,CRENSHAW,OTHER,53
1041,ALABAMA,CRENSHAW,REPUBLICAN,4864
1043,ALABAMA,CULLMAN,DEMOCRAT,4478
1043,ALABAMA,CULLMAN,OTHER,493
1043,ALABAMA,CULLMAN,REPUBLICAN,36880
1045,ALABAMA,DALE,DEMOCRAT,5170
1045,ALABAMA,DALE,OTHER,265
1045,ALABAMA,DALE,REPUBLICAN,14303
1047,ALABAMA,DALLAS,DEMOCRAT,12230
1047,ALABAMA,DALLAS,OTHER,110
1047,ALABAMA,DALLAS,REPUBLICAN,5524
1049,ALABAMA,DEKALB,DEMOCRAT,4281
1049,ALABAMA,DEKALB,OTHER,308
1049,ALABAMA,DEKALB,REPUBLICAN,24767
1051,ALABAMA,ELMORE,DEMOCRAT,10367
1051,ALABAMA,ELMORE,OTHER,499
1051,ALABAMA,ELMORE,REPUBLICAN,30164
1053,ALABAMA,ESCAMBIA,DEMOCRAT,4918
1053,ALABAMA,ESCAMBIA,OTHER,123
1053,ALABAMA,ESCAMBIA,REPUBLICAN,10869
1055,ALABAMA,ETOWAH,DEMOCRAT,11567
1055,ALABAMA,ETOWAH,OTHER,633
1055,ALABAMA,ETOWAH,REPUBLICAN,35528
1057,ALABAMA,FAYETTE,DEMOCRAT,1395
1057,ALABAMA,FAYETTE,OTHER,71
1057,ALABAMA,FAYETTE,REPUBLICAN,7300
1059,ALABAMA,FRANKLIN,DEMOCRAT,2086
1059,ALABAMA,FRANKLIN,OTHER,116
1059,ALABAMA,FRANKLIN,REPUBLICAN,10376
1061,ALABAMA,GENEVA,DEMOCRAT,1595
1061,ALABAMA,GENEVA,OTHER,102
1061,ALABAMA,GENEVA,REPUBLICAN,10848
1063,ALABAMA,GREENE,DEMOCRAT,3884
1063,ALABAMA,GREENE,OTHER,16
1063,ALABAMA,GREENE,REPUBLICAN,875
1065,ALABAMA,HALE,DEMOCRAT,4663
1065,ALABAMA,HALE,OTHER,45
1065,ALABAMA,HALE,REPUBLICAN,3192
1067,ALABAMA,HENRY,DEMOCRAT,2606
1067,ALABAMA,HENRY,OTHER,85
1067,ALABAMA,HENRY,REPUBLICAN,6607
1069,ALABAMA,HOUSTON,DEMOCRAT,12917
1069,ALABAMA,HOUSTON,OTHER,638
1069,ALABAMA,HOUSTON,REPUBLICAN,32618
1071,ALABAMA,JACKSON,DEMOCRAT,3717
1071,ALABAMA,JACKSON,OTHER,249
1071,ALABAMA,JACKSON,REPUBLICAN,19670
1073,ALABAMA,JEFFERSON,DEMOCRAT,181688
1073,ALABAMA,JEFFERSON,OTHER,5317
