iisID,age,education,job,gender,region,ethnicity,tk2017,tk2021
557568,40,Bachelor,Unemployed and searching for a job,Male,South  of the country,Second generation non-Western immigrant,Not,NA
557572,20,HAVO/VWO,Part-time employed,Male,East  of the country,Dutch origin,SGP,NA
557586,19,Bachelor,Student or full-time education,Male,East  of the country,Dutch origin,New,NA
557698,44,MBO 2-4,Unemployed and searching for a job,Male,South  of the country,Dutch origin,PVV,NA
557707,23,Bachelor,Student or full-time education,Male,West of the country,Dutch origin,VVD,NA
557720,23,MBO 2-4,Full-time employed,Male,East  of the country,Dutch origin,FvD,NA
557825,37,Bachelor,Full-time employed,Male,South  of the country,Dutch origin,SP,NA
557827,24,MBO 2-4,Full-time employed,Male,North  of the country,Second generation Western immigrant,GL,NA
557828,73,MBO 2-4,Retired,Female,South  of the country,Dutch origin,D66,NA
557830,40,MBO 2-4,Unemployed and not searching for a job or incapacitated,Female,West of the country,Dutch origin,PVV,NA
557839,50,Bachelor,Unemployed and not searching for a job or incapacitated,Male,West of the country,Dutch origin,FvD,NA
557845,18,HAVO/VWO,Student or full-time education,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",First generation non-Western immigrant,New,NA
557846,24,Master,Part-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Second generation Western immigrant,FvD,NA
557953,41,Bachelor,Part-time employed,Male,North  of the country,Dutch origin,NA,NA
557954,40,MBO 2-4,Housewife/Househusband or else,Male,South  of the country,Dutch origin,PVV,NA
557966,52,"VMBO, MBO 1",Part-time employed,Male,East  of the country,Dutch origin,PVV,NA
557973,23,Bachelor,Student or full-time education,Male,East  of the country,Dutch origin,GL,NA
558078,37,Bachelor,Part-time employed,Male,North  of the country,Dutch origin,FvD,NA
558080,36,Bachelor,Full-time employed,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Dutch origin,SP,NA
558081,41,Master,Part-time employed,Male,West of the country,Dutch origin,PvdA,NA
558082,44,MBO 2-4,Unemployed and not searching for a job or incapacitated,Male,North  of the country,Dutch origin,FvD,NA
558091,18,Bachelor,Part-time employed,Male,South  of the country,Dutch origin,New,NA
558093,22,Bachelor,Student or full-time education,Male,South  of the country,Dutch origin,VVD,NA
558096,22,MBO 2-4,Full-time employed,Male,East  of the country,Dutch origin,NA,NA
558102,18,Bachelor,Student or full-time education,Male,"Three big cities (Amsterdam, Rotterdam, The Hague)",Second generation Western immigrant,New,NA
